Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,2060,2060,2060,0.00,0.000%,.48544,0.47,0.07,983.0
TOTAL,1,2060,2060,2060,0.00,0.000%,.48544,0.47,0.07,983.0
