Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,4212,2522,6209,650.76,0.000%,29.29115,27.55,3.98,963.0
TOTAL,200,4212,2522,6209,650.76,0.000%,29.29115,27.55,3.98,963.0
