Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,2161,2161,2161,0.00,0.000%,.46275,0.55,0.06,1218.0
TOTAL,1,2161,2161,2161,0.00,0.000%,.46275,0.55,0.06,1218.0
