Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,300,28,2721,326.00,98.000%,183.15018,75.47,24.86,422.0
TOTAL,500,300,28,2721,326.00,98.000%,183.15018,75.47,24.86,422.0
