Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,1984,1740,3068,252.60,0.000%,14.08451,14.40,1.91,1046.6
TOTAL,50,1984,1740,3068,252.60,0.000%,14.08451,14.40,1.91,1046.6
